player,season,matches,innings,notOuts,runs,highScore,average,balls,strikeRate,hundreds,fifties,ducks,fours,sixes,foreign,series
Virat Kohli,2011,6,6,1,232,84*,46.4,159,145.91,0,2,1,23,10,false,"Nokia Champions League T20 (in India), 2011/12"
Tim David,2026,10,9,5,232,70*,58,117,198.29,0,1,0,16,19,false,"Indian Premier League (in India), 2026"
WG Jacks,2024,8,8,1,230,100*,32.85,131,175.57,1,1,0,16,18,false,"Indian Premier League (in India), 2024"
Chris Gayle,2016,10,10,0,227,76,22.7,150,151.33,0,2,1,17,21,false,"Indian Premier League (in India), 2016"
TM Dilshan,2011,10,10,2,226,59*,28.25,180,125.55,0,2,2,33,3,false,"Indian Premier League (in India), 2011"
MV Boucher,2007,10,10,3,225,50*,32.14,177,127.11,0,1,0,24,6,false,"Indian Premier League (in India), 2007/08"
Mayank Agarwal,2012,16,12,1,225,64*,20.45,158,142.4,0,1,0,19,15,false,"Indian Premier League (in India), 2012"
MM Ali,2019,11,10,2,220,66,27.5,133,165.41,0,2,0,16,17,false,"Indian Premier League (in India), 2019"
Shahbaz Ahmed,2022,16,11,3,219,45,27.37,181,120.99,0,0,0,14,9,false,"Indian Premier League (in India), 2022"
AB de Villiers,2017,9,9,1,216,89*,27,163,132.51,0,1,0,12,16,false,"Indian Premier League (in India), 2017"
MP Stoinis,2019,10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10,false,"Indian Premier League (in India), 2019"
Parthiv Patel,2014,12,12,2,205,57*,20.5,185,110.81,0,1,0,30,1,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
Phil Salt,2026,6,6,0,202,78,33.66,120,168.33,0,2,1,16,11,false,"Indian Premier League (in India), 2026"
Q de Kock,2018,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8,false,"Indian Premier League (in India), 2018"
Chris Gayle,2017,9,9,0,200,77,22.22,163,122.69,0,1,2,15,14,false,"Indian Premier League (in India), 2017"
Jacques Kallis,2007,11,11,0,199,54,18.09,183,108.74,0,1,1,23,4,false,"Indian Premier League (in India), 2007/08"
Chris Gayle,2014,9,9,0,196,46,21.77,184,106.52,0,0,0,18,12,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
KS Bharat,2021,8,7,2,191,78*,38.2,156,122.43,0,1,0,10,8,false,"Indian Premier League (in India/United Arab Emirates), 2021"
SS Tiwary,2012,15,11,3,191,36*,23.87,170,112.35,0,0,0,9,8,false,"Indian Premier League (in India), 2012"
Mandeep Singh,2017,11,10,0,188,52,18.8,177,106.21,0,1,2,21,4,false,"Indian Premier League (in India), 2017"
Tim David,2025,12,9,6,187,50*,62.33,101,185.14,0,1,0,16,14,false,"Indian Premier League (in India), 2025"
SS Tiwary,2011,16,13,5,187,42*,23.37,188,99.46,0,0,0,13,5,false,"Indian Premier League (in India), 2011"
Shane Watson,2016,16,15,2,179,36,13.76,134,133.58,0,0,1,14,12,false,"Indian Premier League (in India), 2016"
Robin Uthappa,2009,15,13,2,175,66*,15.9,170,102.94,0,1,1,18,3,false,"Indian Premier League (in South Africa), 2009"
MK Pandey,2009,5,4,2,168,114*,84,118,142.37,1,0,0,17,4,false,"Indian Premier League (in South Africa), 2009"
MC Henriques,2013,10,9,5,165,44,41.25,125,132,0,0,0,20,3,false,"Indian Premier League (in India), 2013"
Virat Kohli,2007,13,12,1,165,38,15,157,105.09,0,0,1,18,4,false,"Indian Premier League (in India), 2007/08"
Mandeep Singh,2015,14,9,2,157,54*,22.42,100,157,0,1,2,17,6,false,"Pepsi Indian Premier League (in India), 2015"
Parthiv Patel,2018,6,6,1,153,53,30.6,109,140.36,0,1,0,20,4,false,"Indian Premier League (in India), 2018"
LRPL Taylor,2009,4,4,2,152,65,76,80,190,0,2,0,12,11,false,"Champions League Twenty20 (in India), 2009/10"
TM Head,2017,7,7,2,151,75*,30.2,108,139.81,0,1,1,9,6,false,"Indian Premier League (in India), 2017"
MV Boucher,2009,12,9,4,150,48*,30,116,129.31,0,0,0,8,6,false,"Indian Premier League (in South Africa), 2009"
