player,span,matches,innings,notOuts,runs,highScore,average,balls,strikeRate,hundreds,fifties,ducks,fours,sixes,foreign,role
V Vyshak,2023-2024,11,4,2,14,13*,7,12,116.66,0,0,2,0,1,false,
DT Patil,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,false,
DJG Sammy,2015-2015,2,2,0,13,7,6.5,18,72.22,0,0,0,0,0,false,
S Badree,2017-2017,7,5,0,13,8,2.6,23,56.52,0,0,2,0,0,false,
Parvez Rasool,2016-2016,4,1,0,10,10,10,9,111.11,0,0,0,1,0,false,
AA Noffke,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0,false,
H Klaasen,2019-2019,3,2,0,9,6,4.5,10,90,0,0,0,0,0,false,
KK Nair,2013-2013,2,2,0,9,9,4.5,12,75,0,0,1,0,0,false,
CK Langeveldt,2011-2011,3,1,0,8,8,8,8,100,0,0,0,0,1,false,
TS Mills,2017-2017,5,3,0,8,6,2.66,11,72.72,0,0,1,0,1,false,
AF Milne,2016-2017,5,3,1,7,5,3.5,12,58.33,0,0,0,0,0,false,
DR Sams,2021-2021,2,2,1,6,3*,6,6,100,0,0,0,0,0,false,
M Muralidaran,2012-2014,21,2,0,6,6,3,9,66.66,0,0,1,0,0,false,
SB Joshi,2008-2008,4,2,0,6,3,3,14,42.85,0,0,0,0,0,false,
Yash Dayal,2024-2025,29,3,1,4,3,2,8,50,0,0,1,0,0,false,
AB Dinda,2014-2015,11,3,2,4,2*,4,12,33.33,0,0,1,0,0,false,
CJ Jordan,2016-2016,9,1,0,3,3,3,4,75,0,0,0,0,0,false,
R Ninan,2011-2011,2,1,0,3,3,3,6,50,0,0,0,0,0,false,
RJW Topley,2023-2024,5,1,1,3,3*,,6,50,0,0,0,0,0,false,
JD Unadkat,2013-2013,13,2,2,2,1*,,2,100,0,0,0,0,0,false,
M Kartik,2013-2013,11,2,1,2,2*,2,3,66.66,0,0,1,0,0,false,
