player,span,matches,innings,balls,overs,maidens,runs,wickets,best,average,economy,strikeRate,fourWickets,fiveWickets,foreign,style
Kevin Pietersen,2009-2010,13,10,138,23,0,162,7,2/31,23.14,7.04,19.71,0,0,false,
MC Henriques,2013-2013,10,8,127,21.1,0,185,7,2/14,26.42,8.74,18.14,0,0,false,
Akash Deep,2022-2024,8,8,164,27.2,1,319,7,3/45,45.57,11.67,23.42,0,0,false,
AB McDonald,2012-2013,5,4,72,12,0,78,6,2/25,13,6.5,12,0,0,false,
MG Bracewell,2023-2023,5,5,66,11,0,95,6,2/13,15.83,8.63,11,0,0,false,
Swapnil Singh,2024-2024,7,7,90,15,0,133,6,2/28,22.16,8.86,15,0,0,false,
D du Preez,2009-2010,5,5,96,16,1,146,6,3/32,24.33,9.12,16,0,0,false,
TG Southee,2018-2019,11,11,228,38,0,379,6,3/30,63.16,9.97,38,0,0,false,
JA Duffy,2026-2026,3,3,72,12,0,138,6,3/22,23,11.5,12,0,0,false,
CK Langeveldt,2011-2011,3,3,66,11,0,84,5,2/10,16.8,7.63,13.2,0,0,false,
STR Binny,2016-2017,22,15,138,23,0,184,5,1/9,36.8,8,27.6,0,0,false,
Yuvraj Singh,2014-2014,14,10,136,22.4,0,187,5,4/35,37.4,8.25,27.2,1,0,false,
A Choudhary,2017-2017,5,5,101,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0,false,
TS Mills,2017-2017,5,5,107,17.5,0,153,5,2/31,30.6,8.57,21.4,0,0,false,
P Parameswaran,2012-2012,3,3,60,10,0,87,5,3/30,17.4,8.7,12,0,0,false,
AB Dinda,2014-2015,11,11,216,36,0,332,5,1/14,66.4,9.22,43.2,0,0,false,
RR Bhatkal,2011-2012,6,6,102,17,0,167,5,3/21,33.4,9.82,20.4,0,0,false,
RJW Topley,2023-2024,5,5,102,17,0,182,5,2/27,36.4,10.7,20.4,0,0,false,
DJ Willey,2022-2023,8,8,156,26,1,177,4,2/16,44.25,6.8,39,0,0,false,
S Dube,2019-2020,15,7,64,10.4,0,81,4,2/15,20.25,7.59,16,0,0,false,
JA Morkel,2014-2014,7,6,96,16,0,126,4,1/18,31.5,7.87,24,0,0,false,
DP Nannes,2011-2011,8,8,162,27,1,243,4,1/0,60.75,9,40.5,0,0,false,
Virat Kohli,2008-2026,292,32,308,51.2,0,463,4,2/25,115.75,9.01,77,0,0,false,
AN Ahmed,2014-2015,7,7,158,26.2,0,241,4,1/18,60.25,9.15,39.5,0,0,false,
DT Christian,2013-2021,11,11,136,22.4,0,210,4,2/14,52.5,9.26,34,0,0,false,
Pankaj Singh,2009-2010,5,5,90,15,1,146,4,2/27,36.5,9.73,22.5,0,0,false,
AF Milne,2016-2017,5,5,108,18,0,177,4,2/27,44.25,9.83,27,0,0,false,
L Ngidi,2025-2025,2,2,48,8,0,81,4,3/30,20.25,10.12,12,0,0,false,
JD Ryder,2009-2009,5,5,102,17,0,115,3,2/14,38.33,6.76,34,0,0,false,
M Ashwin,2018-2018,2,2,42,7,0,53,3,2/36,17.66,7.57,14,0,0,false,
GHS Garton,2021-2021,5,5,90,15,0,135,3,1/27,45,9,30,0,0,false,
T Shamsi,2016-2016,4,4,96,16,0,147,3,1/21,49,9.18,32,0,0,false,
K Khejroliya,2018-2019,5,5,95,15.5,0,153,3,2/33,51,9.66,31.66,0,0,false,
JJ van der Wath,2011-2011,3,3,72,12,0,129,3,2/49,43,10.75,24,0,0,false,
R Ninan,2011-2011,2,2,36,6,0,65,3,2/31,21.66,10.83,12,0,0,false,
Abhinandan Singh,2026-2026,3,3,58,9.4,0,122,3,2/30,40.66,12.62,19.33,0,0,false,
CJ Anderson,2018-2018,3,3,52,8.4,0,115,3,2/47,38.33,13.26,17.33,0,0,false,
Sachin Baby,2016-2021,15,2,10,1.4,0,8,2,2/4,4,4.8,5,0,0,false,
ND Doshi,2010-2010,2,2,36,6,0,29,2,1/12,14.5,4.83,18,0,0,false,
A Zampa,2020-2020,3,3,66,11,0,92,2,1/12,46,8.36,33,0,0,false,
LS Livingstone,2025-2025,10,5,54,9,0,76,2,2/28,38,8.44,27,0,0,false,
TM Dilshan,2011-2013,30,14,168,28,0,239,2,1/10,119.5,8.53,84,0,0,false,
MP Stoinis,2019-2019,10,6,100,16.4,0,145,2,1/13,72.5,8.7,50,0,0,false,
B Stanlake,2017-2017,2,2,48,8,0,70,2,2/29,35,8.75,24,0,0,false,
C de Grandhomme,2018-2019,13,10,120,20,0,184,2,1/8,92,9.2,60,0,0,false,
TM Head,2016-2017,10,5,48,8,0,81,2,2/30,40.5,10.12,24,0,0,false,
