player,season,matches,balls,overs,maidens,innings,runs,wickets,best,average,economy,strikeRate,foreign,series
KV Sharma,2024,9,144,24,0,9,254,7,2/29,36.28,10.58,20.57,false,"Indian Premier League (in India), 2024"
Mohammed Siraj,2019,9,169,28.1,1,9,269,7,2/38,38.42,9.55,24.14,false,"Indian Premier League (in India), 2019"
Suyash Sharma,2026,9,191,31.5,1,9,269,7,2/47,38.42,8.45,27.28,false,"Indian Premier League (in India), 2026"
Anil Kumble,2007,10,230,38.2,0,10,304,7,3/14,43.42,7.93,32.85,false,"Indian Premier League (in India), 2007/08"
MG Bracewell,2023,5,66,11,0,5,95,6,2/13,15.83,8.63,11,false,"Indian Premier League (in India), 2023"
Glenn Maxwell,2024,10,96,16,0,6,129,6,2/23,21.5,8.06,16,false,"Indian Premier League (in India), 2024"
Swapnil Singh,2024,7,90,15,0,7,133,6,2/28,22.16,8.86,15,false,"Indian Premier League (in India), 2024"
JA Duffy,2026,3,72,12,0,3,138,6,3/22,23,11.5,12,false,"Indian Premier League (in India), 2026"
KP Appanna,2012,7,102,17,0,6,148,6,4/19,24.66,8.7,17,false,"Indian Premier League (in India), 2012"
Romario Shepherd,2025,8,84,14,0,7,151,6,2/14,25.16,10.78,14,false,"Indian Premier League (in India), 2025"
Glenn Maxwell,2022,13,144,24,1,10,165,6,2/22,27.5,6.87,24,false,"Indian Premier League (in India), 2022"
MM Ali,2019,11,150,25,0,9,169,6,2/18,28.16,6.76,25,false,"Indian Premier League (in India), 2019"
Iqbal Abdulla,2016,8,150,25,0,8,213,6,3/40,35.5,8.52,25,false,"Indian Premier League (in India), 2016"
Sreenath Aravind,2011,6,138,23,0,6,249,6,2/23,41.5,10.82,23,false,"Nokia Champions League T20 (in India), 2011/12"
Jacques Kallis,2009,15,276,46,1,14,353,6,2/18,58.83,7.67,46,false,"Indian Premier League (in South Africa), 2009"
NA Saini,2020,13,274,45.4,1,13,379,6,2/25,63.16,8.29,45.66,false,"Indian Premier League (in United Arab Emirates), 2020/21"
Zaheer Khan,2013,2,36,6,0,2,47,5,4/17,9.4,7.83,7.2,false,"Indian Premier League (in India), 2013"
